County,Sub County,Facility,Mfl Code,Emr Site,Keph Level,Partner
Kisumu,Kisumu Central,St Lydia okore Dispensary - Railways Ward,"21,706",New,Level 2,NULL
Kisumu,Kisumu Central,Obunga dispensary-Railways Ward,"29,553",New,Level 2,NULL
Kisumu,Kisumu East,Orongo Dispensary - Kolwa East Ward,"21,047",New,Level 2,NULL
Kisumu,Kisumu East,Obino Dispensary - Kolwa East Ward,"29,396",New,Level 2,NULL
Kisumu,Kisumu East,Kotunga Dispensary - Kajulu Ward,"21,899",New,Level 2,NULL
Kisumu,Kisumu East,Ongadi Dispensary - Kajulu Ward,"29,412",New,Level 2,NULL
Kisumu,Kisumu East,Kuoyo Health Center - Manyatta B Ward,"21,705",New,Level 3,NULL
Kisumu,Kisumu West,Aboge Health Centre - West Kisumu Ward,"23,541",New,Level 3,NULL
Kisumu,Kisumu West,Gombe Kokulo Health Centre - West Kisumu Ward,"25,958",New,Level 3,NULL
Kisumu,Kisumu West,Lwala Kadawa Health Centre - West Kisumu Ward,"17,174",New,Level 3,NULL
Kisumu,Kisumu West,Barkorumba Health Centre - Kisumu North Ward,"25,956",New,Level 3,NULL
Kisumu,Kisumu West,Dago Kokore Health Centre - Kisumu North Ward,"22,806",New,Level 3,NULL
Kisumu,Kisumu West,Geta Health Centre - Kisumu North Ward,"25,957",New,Level 3,NULL
Kisumu,Kisumu West,Dago Kotiende Dispensary - North West Kisumu Ward,"32,490",New,Level 2,NULL
Kisumu,Kisumu West,Nyitienge Health Centre - South West Kisumu Ward,"29,387",New,Level 3,NULL
Kisumu,Kisumu West,Paga Health Centre-South West Kisumu,"29,385",New,Level 3,NULL
Kisumu,Kisumu West,Rota Health Centre - South West Kisumu Ward,"14,060",New,Level 3,NULL
Kisumu,Kisumu West,Ongalo Dispensary - South West Kisumu Ward,"29,365",New,Level 2,NULL
Kisumu,Muhoroni,Nyakoko Dispensary - Masogo/Nyang'oma Ward,"27,219",New,Level 3,NULL
Kisumu,Muhoroni,Jaber Dispensary - Muhoroni Koru Ward,"20,503",New,Level 2,NULL
Kisumu,Muhoroni,Nyangore Dispensary - Chemelil Ward,"20,501",New,Level 2,NULL
Kisumu,Muhoroni,Yago Dispensary - Chemelil Ward,"20,334",New,Level 2,NULL
Kisumu,Nyakach,Sangoro Dispensary - West Nyakach Ward,"27,526",New,Level 2,NULL
Kisumu,Nyakach,Andingo Rongo - West Nyakach Ward,"13,477",New,Level 2,NULL
Kisumu,Nyakach,Nyabola CDF Dispensary - Central Nyakach Ward,"18,865",New,Level 2,NULL
Kisumu,Nyakach,Kodum Dispensary - Central Nyakach Ward,"29,886",New,Level 2,NULL
Kisumu,Nyakach,Lisana Dispensary - North Nyakach Ward,"23,712",New,Level 2,NULL
Kisumu,Nyakach,Cherwa Dispensary - North Nyakach Ward,"20,240",New,Level 2,NULL
Kisumu,Nyakach,Rang'ul Dispensary - North Nyakach Ward,"21,039",New,Level 2,NULL
Kisumu,Nyakach,Gari Dispensary - South West Nyakach Ward,"18,866",New,Level 2,NULL
Kisumu,Nyakach,Michura Dispensary - South West Nyakach Ward,"32,718",New,Level 2,NULL
Kisumu,Nyakach,Keyo Dispensary - South East Nyakach Ward,"26,428",New,Level 2,NULL
Kisumu,Nyando,Magina Health Center - East Kano/Wawidhi Ward,"18,430",New,Level 3,NULL
Kisumu,Nyando,Ayweyo Health centre - East Kano/Wawidhi,"27,105",New,Level 3,NULL
Kisumu,Nyando,Olasi Dispensary (Nyando) - East Kano/Wawidhi Ward,"13,976",New,Level 2,NULL
Kisumu,Nyando,Katolo-Manyatta Dispensary - East Kano/Wawidhi Ward,"18,421",New,Level 2,NULL
Kisumu,Nyando,Oren Health Centre - Awasi/Onjiko,"18,800",New,Level 3,NULL
Kisumu,Nyando,Wanganga Health Centre - Awasi/Onjiko Ward,"18,283",New,Level 3,NULL
Kisumu,Nyando,Ayucha Health Centre - Awasi/Onjiko Ward,"26,516",New,Level 2,NULL
Kisumu,Nyando,Kadinda Health Centre - Ahero Ward,"16,283",New,Level 3,NULL
Kisumu,Nyando,Koluoch Health Centre - Ahero Ward,"31,980",New,Level 3,NULL
Kisumu,Nyando,Nyadado Dispensary- East Seme Ward,"32,019",New,Level 2,NULL
Kisumu,Seme,Nyadado Dispensary- East Seme Ward,"32,019",New,Level 2,NULL
Homa Bay,Rachuonyo North,Okiki Amayo Health Centre,"13,972",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Suba North,Usao Health Centre,"14,162",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Suba South,Kiwa Island Dispensary,"13,707",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Rangwe,Nyawawa Dispensary,"19,863",Yes,Level 2,HOMA BAY CHMT
Homa Bay,Ndhiwa,Kome Dispensary,"20,347",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rachuonyo East,Kimonge Health Centre,"13,693",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Suba South,Nyatoto Health Centre,"13,946",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rachuonyo North,Alum Beach Dispensary,"13,472",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Suba North,Ang’iya Dispensary,"13,479",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Rachuonyo East,Ragwe Dispensary,"18,530",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Suba South,Magunga Health Centre,"13,753",Yes,Level 4,LVCT Vukisha 95
